sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_genotype,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM4182993,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-34.594292236847465,-22.581904670059924,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,22_L8.D710: Nlrp3+GS  liver 4
GSM4182994,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-35.737784985009405,-20.6004296754562,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,23_L8.D711: Nlrp3+GS  liver 5
GSM4182995,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-32.870469984267466,-20.067365764827677,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,24_L8.D712: Nlrp3+GS  liver 6
GSM4182996,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-37.99707552947338,-23.42200518864777,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,25_L8.D701: WT_con diet liver #1P
GSM4182997,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-31.09423241069752,-16.275169611342307,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,26_L8.D702: WT_con diet liver #2P
GSM4183000,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-36.95240900663451,-24.8776939380752,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,29_L1.D705: Nlrp3 KI_con diet liver #1P
GSM4183001,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-34.615024115453664,-22.074853676145278,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,30_L1.D706: Nlrp3 KI_ASK1 Inhibitor liver #1P
GSM4183002,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-37.08052494991671,-25.08970073582594,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,31_L1.D707: Nlrp3 KI_ASK1 Inhibitor liver #2P
GSM4183003,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-34.57733494423532,-22.240687746468332,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,32_L1.D708: Nlrp3 KI_ASK1 Inhibitor liver #3P
GSM4183004,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-29.6730282785044,-17.839041455804402,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,33_L1.D709: Nlrp3 KI_ASK1 Inhibitor liver #4P
