sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM8316634,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-27.001912202640447,-14.448167662373141,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 1"
GSM8316635,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-27.914079800251105,-14.31118461692638,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 2"
GSM8316636,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-28.47827422721115,-14.828851757766312,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 3"
GSM8316637,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-28.692925795367014,-15.207571952641214,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 4"
GSM8316638,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-26.88053883203105,-13.704066230009325,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 5"
GSM8316640,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-26.199119823232458,-13.400688854700679,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 6"
GSM8316641,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-25.72832894739967,-13.39972096534991,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 7"
GSM8316642,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-29.35084262017048,-16.176734570804985,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 8"
GSM8316681,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-5.754099656284738,-2.4982908728998146,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 1"
GSM8316682,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-7.07567773810607,-3.2431223253144745,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 2"
