sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_genotype,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM4182973,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.067789707477688,2.2888561532018445,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,2_L5.D702: WT+con liver 2
GSM4182974,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.089495944858206,2.2861055221307414,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,3_L5.D703: WT+con liver 3
GSM4182975,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.0946986888387285,2.288574494108219,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,4_L6.D704: WT+con liver 4
GSM4182976,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.079412612049783,2.2850248177977925,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,5_L5.D705: WT+con liver 5
GSM4182977,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.072833523605416,2.2871148755784185,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,6_L6.D706: WT+con liver 6
GSM4182978,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.083663274126729,2.2834995686468558,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,7_L6.D707: WT+con liver 7
GSM4182979,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.057003479280892,2.286055367416329,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,8_L6.D708: WT+con liver 8
GSM4182986,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.188473367405518,2.286474487318598,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: F",Liver,15_L7.D703: Nlrp3+con liver 1
GSM4182987,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.1884200096733135,2.2886650143999727,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,16_L7.D704: Nlrp3+con liver 2
GSM4182988,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.161215044969308,2.2916415457872734,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,17_L7.D705: Nlrp3+con liver 3
GSM4182989,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.16011076640726,2.2852513984679423,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,18_L7.D706: Nlrp3+con liver 4
GSM4182990,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.163596771555823,2.291096085043129,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,19_L7.D707: Nlrp3+GS  liver 1
GSM4182991,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.191401935716352,2.2896807693025076,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,20_L8.D708: Nlrp3+GS  liver 2
GSM4182992,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.1656793741833456,2.2850897830197696,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,21_L8.D709: Nlrp3+GS  liver 3
