family,metric,metric_order,species,fold,model_type,model_label,score,score_name
Cycle consistency,Per-sample,1,Mouse,8,FlowTransOP,FlowTransOP,0.7095756461009858,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,8,permuted_both,Permuted both,0.0046506156162887,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,8,permuted_human,Permuted human,0.7602382619943739,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,8,permuted_mouse,Permuted mouse,6.9248487073769e-4,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,9,FlowTransOP,FlowTransOP,0.7261981013939834,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,9,permuted_both,Permuted both,0.00437134850303503,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,9,permuted_human,Permuted human,0.7591603520055884,Mean per-sample Pearson r
Cycle consistency,Per-sample,1,Mouse,9,permuted_mouse,Permuted mouse,0.00149067485871209,Mean per-sample Pearson r
Cycle consistency,Gene-marginal mean,2,Human,0,FlowTransOP,FlowTransOP,0.9716315819648034,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,0,FlowTransOP,FlowTransOP,0.6437835820923218,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,0,permuted_both,Permuted both,0.00206826096169013,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,0,permuted_both,Permuted both,-0.01191829650824563,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,0,permuted_human,Permuted human,0.00103606631066421,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,0,permuted_human,Permuted human,-0.00452171366970928,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,0,permuted_mouse,Permuted mouse,0.9753851410596308,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,0,permuted_mouse,Permuted mouse,0.676683039447862,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,1,FlowTransOP,FlowTransOP,0.9846093803650376,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,1,FlowTransOP,FlowTransOP,0.7454572682759003,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,1,permuted_both,Permuted both,0.00143787865095998,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,1,permuted_both,Permuted both,-0.00420140738074768,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,1,permuted_human,Permuted human,0.00225555468228002,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,1,permuted_human,Permuted human,-0.00285112160808221,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,1,permuted_mouse,Permuted mouse,0.989534803478766,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,1,permuted_mouse,Permuted mouse,0.7700008380983273,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,2,FlowTransOP,FlowTransOP,0.9793584552410166,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,2,FlowTransOP,FlowTransOP,0.7115268321857363,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,2,permuted_both,Permuted both,0.00196310983556026,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,2,permuted_both,Permuted both,-0.00813370365087157,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,2,permuted_human,Permuted human,0.00171380331292555,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,2,permuted_human,Permuted human,-0.00515884745946487,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,2,permuted_mouse,Permuted mouse,0.9909270064981244,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,2,permuted_mouse,Permuted mouse,0.7752061014423378,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,3,FlowTransOP,FlowTransOP,0.9770868625772956,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,3,FlowTransOP,FlowTransOP,0.7049075701804082,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,3,permuted_both,Permuted both,0.00137647388512102,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,3,permuted_both,Permuted both,-0.00500058638898051,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,3,permuted_human,Permuted human,0.00300739422948239,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,3,permuted_human,Permuted human,-0.00632485862325837,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,3,permuted_mouse,Permuted mouse,0.9909987731155392,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,3,permuted_mouse,Permuted mouse,0.7642943054230866,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,4,FlowTransOP,FlowTransOP,0.9831057631209862,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,4,FlowTransOP,FlowTransOP,0.7239775956943868,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,4,permuted_both,Permuted both,0.00162009988959633,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,4,permuted_both,Permuted both,-0.00794778526710831,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,4,permuted_human,Permuted human,0.00188305638723759,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,4,permuted_human,Permuted human,-0.00263266422417828,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,4,permuted_mouse,Permuted mouse,0.9773719198012952,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,4,permuted_mouse,Permuted mouse,0.727493058350196,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,5,FlowTransOP,FlowTransOP,0.9790638663918216,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,5,FlowTransOP,FlowTransOP,0.7207511283047879,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,5,permuted_both,Permuted both,0.00235089899992017,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,5,permuted_both,Permuted both,-0.00205937564114042,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,5,permuted_human,Permuted human,0.00262385140796497,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,5,permuted_human,Permuted human,-6.9704411953064e-4,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,5,permuted_mouse,Permuted mouse,0.9893907038526174,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,5,permuted_mouse,Permuted mouse,0.7694180273684623,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,6,FlowTransOP,FlowTransOP,0.9890058797704426,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,6,FlowTransOP,FlowTransOP,0.7468564018006264,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,6,permuted_both,Permuted both,-0.00282617471193683,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,6,permuted_both,Permuted both,-0.00194489554773729,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,6,permuted_human,Permuted human,0.00282944443274203,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,6,permuted_human,Permuted human,-0.00416434379644666,Gene-marginal variance prediction Pearson r
Cycle consistency,Gene-marginal mean,2,Human,6,permuted_mouse,Permuted mouse,0.9866501163768282,Gene-marginal mean Pearson r
Cycle consistency,Gene-marginal variance,3,Human,6,permuted_mouse,Permuted mouse,0.7531180562511182,Gene-marginal variance prediction Pearson r
