fold,direction,tissue,feature_set,model_type,comparison,n_source,n_target,n_features,mmd,random_repeat
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06636393070220947,3.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5916714072227478,3.0
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.047273874282836914,4.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919896364212036,4.0
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06521773338317871,4.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5917025804519653,4.0
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04664349555969238,5.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919725298881531,5.0
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06449806690216064,5.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.591677188873291,5.0
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.048977017402648926,6.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919774174690247,6.0
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.0677560567855835,6.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5916867256164551,6.0
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04883301258087158,7.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919865369796753,7.0
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06731009483337402,7.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5916956067085266,7.0
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04800450801849365,8.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919840335845947,8.0
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06626713275909424,8.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5916886925697327,8.0
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04758751392364502,9.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919727087020874,9.0
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06589734554290771,9.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5916730761528015,9.0
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_liver_target,10000,10000,37933,1.2189574241638184,
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_liver_target,10000,10000,15666,1.205488920211792,
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5976459383964539,0.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5990996956825256,0.0
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.597646176815033,1.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5991001129150391,1.0
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5976455211639404,2.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5991005897521973,2.0
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.59764564037323,3.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5991001129150391,3.0
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5976464152336121,4.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5991004705429077,4.0
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5976458787918091,5.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5990999937057495,5.0
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.59764564037323,6.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5991008877754211,6.0
7,m2h,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5976447463035583,7.0
7,m2h,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5991001725196838,7.0
