fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,random_repeat,background_n,latent_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.8715240955352783,0.9997848272323608,0.9997848272323608,0.9996375427724563,4.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,53.06411361694336,-0.751928985118866,-0.7521746158599854,-0.737403493751502,4.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.4896775484085083,0.5687524676322937,0.569362223148346,0.573271792494936,4.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.7580896615982056,0.18308526277542114,0.18410131335258484,0.1474963986736247,4.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.11143435537815094,0.9999841451644897,0.9999841451644897,0.9999628065597783,4.0,1000.0,permuted_target_space
5,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,21.177324295043945,-0.8360754251480103,-0.8360899686813354,-0.8400353051578717,4.0,1000.0,permuted_target_space
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.507469415664673,0.058884210884571075,0.056124910712242126,0.05328568281434179,5.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.375487804412842,-0.37623050808906555,-0.3756754696369171,-0.3581081878497614,5.0,1000.0,normal_target_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.9503564834594727,0.9997534155845642,0.9997535943984985,0.999583004314439,5.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,53.00430679321289,-0.7521754503250122,-0.7524233460426331,-0.7377174922179879,5.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.5144028663635254,0.5392930507659912,0.5399038791656494,0.5425869360902256,5.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.7494906187057495,0.1332404464483261,0.13403558731079102,0.10055586311669586,5.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.10991856455802917,0.9999843239784241,0.9999844431877136,0.9999635218182442,5.0,1000.0,permuted_target_space
5,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,21.180984497070312,-0.8362459540367126,-0.8362603187561035,-0.8401365142307824,5.0,1000.0,permuted_target_space
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.4215762615203857,0.12405695766210556,0.12112303078174591,0.11488901692015427,6.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.30210018157959,-0.37425529956817627,-0.37366610765457153,-0.35670744355180184,6.0,1000.0,normal_target_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.961442768573761,0.9997416734695435,0.9997417330741882,0.9995605630800746,6.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,53.01254653930664,-0.7521893382072449,-0.7524381875991821,-0.7377277740584338,6.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.4558444023132324,0.5921651124954224,0.5926849246025085,0.5937329232041291,6.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.8485660552978516,0.10736559331417084,0.10834415256977081,0.07142517395085887,6.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.10341083258390427,0.9999862909317017,0.9999864101409912,0.9999671875178815,6.0,1000.0,permuted_target_space
