iteration,variable,value,sample_size,feature_size,variable_name
4,pv_8,0.9999999886454594,32,64,X_1
5,pv_8,0.9999999971846836,32,64,X_1
6,pv_8,0.9999999795190998,32,64,X_1
7,pv_8,0.9999999783549743,32,64,X_1
8,pv_8,0.9999999245532307,32,64,X_1
9,pv_8,1.0000000372022428,32,64,X_1
10,pv_8,0.9999999872256149,32,64,X_1
11,pv_8,0.9999999712646225,32,64,X_1
12,pv_8,1.0000000099382447,32,64,X_1
13,pv_8,0.9999999822908452,32,64,X_1
14,pv_8,0.9999999983501586,32,64,X_1
15,pv_8,0.9999999538154728,32,64,X_1
16,pv_8,0.9999999655840854,32,64,X_1
17,pv_8,1.0000000005974996,32,64,X_1
18,pv_8,1.0000000174329773,32,64,X_1
19,pv_8,0.9999999542197564,32,64,X_1
20,pv_8,0.9999999696575378,32,64,X_1
21,pv_8,0.9999999879881547,32,64,X_1
22,pv_8,0.9999999518663429,32,64,X_1
23,pv_8,0.9999999785230312,32,64,X_1
24,pv_8,0.9999999522307282,32,64,X_1
25,pv_8,1.0000000089820893,32,64,X_1
26,pv_8,1.0000000202114905,32,64,X_1
27,pv_8,0.9999999985628375,32,64,X_1
28,pv_8,0.9999999989254316,32,64,X_1
29,pv_8,0.9999999886811219,32,64,X_1
0,pv_9,0.9999999307631676,32,64,X_1
1,pv_9,0.9999999068701586,32,64,X_1
2,pv_9,0.9999999274592711,32,64,X_1
3,pv_9,1.000000001720584,32,64,X_1
4,pv_9,0.9999999957680119,32,64,X_1
5,pv_9,1.0000000124369406,32,64,X_1
6,pv_9,0.9999999812853683,32,64,X_1
7,pv_9,1.0000000342429716,32,64,X_1
8,pv_9,0.9999999985080784,32,64,X_1
9,pv_9,0.9999999682479421,32,64,X_1
10,pv_9,0.9999999777400702,32,64,X_1
11,pv_9,0.9999999925085601,32,64,X_1
12,pv_9,0.999999999440844,32,64,X_1
13,pv_9,0.999999938691696,32,64,X_1
14,pv_9,1.000000016327403,32,64,X_1
15,pv_9,1.0000000239662878,32,64,X_1
16,pv_9,0.9999996328402354,32,64,X_1
17,pv_9,1.00000000742657,32,64,X_1
18,pv_9,0.9999999553292757,32,64,X_1
19,pv_9,0.9999999713336246,32,64,X_1
20,pv_9,1.0000000237465096,32,64,X_1
21,pv_9,0.9999999824363318,32,64,X_1
22,pv_9,0.9999999884581283,32,64,X_1
23,pv_9,1.0000000019894035,32,64,X_1
24,pv_9,0.9999999635575747,32,64,X_1
25,pv_9,0.9999999938532099,32,64,X_1
26,pv_9,0.9999999724491007,32,64,X_1
27,pv_9,0.9999999391013125,32,64,X_1
28,pv_9,1.0000000266538174,32,64,X_1
29,pv_9,1.0000000162156388,32,64,X_1
0,pv_10,0.9999999991815882,32,64,X_1
1,pv_10,0.9999999307766512,32,64,X_1
2,pv_10,0.9999999757866962,32,64,X_1
3,pv_10,0.9999999706960724,32,64,X_1
4,pv_10,0.9965198054094662,32,64,X_1
5,pv_10,0.9999999499687109,32,64,X_1
6,pv_10,0.9999999807274332,32,64,X_1
7,pv_10,0.9999999730700142,32,64,X_1
8,pv_10,1.0000000038370014,32,64,X_1
9,pv_10,0.9999999956078834,32,64,X_1
10,pv_10,0.9999999498314291,32,64,X_1
11,pv_10,1.0000000200282835,32,64,X_1
12,pv_10,0.9999999850634711,32,64,X_1
13,pv_10,0.9999999642856103,32,64,X_1
14,pv_10,0.9999999956575588,32,64,X_1
15,pv_10,0.999999988736121,32,64,X_1
16,pv_10,0.9999995956626477,32,64,X_1
17,pv_10,0.9999999781278175,32,64,X_1
18,pv_10,0.9999999925957533,32,64,X_1
19,pv_10,0.999999998955836,32,64,X_1
20,pv_10,1.0000000208828166,32,64,X_1
21,pv_10,0.9999999568182908,32,64,X_1
22,pv_10,0.999999999671716,32,64,X_1
23,pv_10,1.0000000280691843,32,64,X_1
24,pv_10,0.9999999192302121,32,64,X_1
25,pv_10,0.9999999828207936,32,64,X_1
26,pv_10,1.0000000025377676,32,64,X_1
27,pv_10,0.9999999798902692,32,64,X_1
28,pv_10,0.9999999913213097,32,64,X_1
29,pv_10,0.9999999763690335,32,64,X_1
0,pv_11,0.9999999779240345,32,64,X_1
1,pv_11,0.9999999329728168,32,64,X_1
2,pv_11,0.9999999461187855,32,64,X_1
3,pv_11,1.000000003353946,32,64,X_1
4,pv_11,0.9999999701823128,32,64,X_1
5,pv_11,0.999999970427746,32,64,X_1
6,pv_11,0.9999999950328471,32,64,X_1
7,pv_11,0.9999999924889803,32,64,X_1
8,pv_11,1.0000000206806319,32,64,X_1
9,pv_11,0.9999998459240171,32,64,X_1
10,pv_11,0.9999999309841016,32,64,X_1
11,pv_11,1.000000012300326,32,64,X_1
12,pv_11,0.9999999861326032,32,64,X_1
13,pv_11,0.9999999745428755,32,64,X_1
14,pv_11,0.9999999674624905,32,64,X_1
15,pv_11,0.9999999690705661,32,64,X_1
16,pv_11,1.0000000253029107,32,64,X_1
17,pv_11,1.0000000296119351,32,64,X_1
18,pv_11,0.9999999785102547,32,64,X_1
19,pv_11,0.9999999579876575,32,64,X_1
20,pv_11,0.9999999809624904,32,64,X_1
