iteration,variable,value,sample_size,feature_size,variable_name
10,pv_16,0.9999999887880588,32,64,X_2
11,pv_16,0.9999999815339979,32,64,X_2
12,pv_16,1.0000000012002062,32,64,X_2
13,pv_16,1.00000001055203,32,64,X_2
14,pv_16,1.0000000102414097,32,64,X_2
15,pv_16,1.000000026095183,32,64,X_2
16,pv_16,1.0000000113010532,32,64,X_2
17,pv_16,0.9999999899099618,32,64,X_2
18,pv_16,0.999999972262768,32,64,X_2
19,pv_16,1.0000000108956872,32,64,X_2
20,pv_16,0.9999999994480177,32,64,X_2
21,pv_16,1.0000000261326751,32,64,X_2
22,pv_16,0.9999999702487563,32,64,X_2
23,pv_16,0.9999999997952215,32,64,X_2
24,pv_16,1.0000000037691055,32,64,X_2
25,pv_16,0.9999999870343823,32,64,X_2
26,pv_16,1.000000012711886,32,64,X_2
27,pv_16,1.000000019979679,32,64,X_2
28,pv_16,0.9999999740199634,32,64,X_2
29,pv_16,1.0000000128475333,32,64,X_2
0,pv_17,0.9999999746253985,32,64,X_2
1,pv_17,1.0000000021474638,32,64,X_2
2,pv_17,0.9999999913763442,32,64,X_2
3,pv_17,1.0000000123937378,32,64,X_2
4,pv_17,0.9999999924372474,32,64,X_2
5,pv_17,0.9999999920541031,32,64,X_2
6,pv_17,0.9999999596352963,32,64,X_2
7,pv_17,1.0000000128048407,32,64,X_2
8,pv_17,0.9999999907967889,32,64,X_2
9,pv_17,0.9999999079041699,32,64,X_2
10,pv_17,0.9999999716201524,32,64,X_2
11,pv_17,0.9999999712269783,32,64,X_2
12,pv_17,1.0000000114623426,32,64,X_2
13,pv_17,0.999999980075336,32,64,X_2
14,pv_17,1.0000000039774959,32,64,X_2
15,pv_17,0.9999999775533287,32,64,X_2
16,pv_17,0.9999999546092072,32,64,X_2
17,pv_17,0.9999999346671324,32,64,X_2
18,pv_17,0.9999999792037659,32,64,X_2
19,pv_17,0.99999999784537,32,64,X_2
20,pv_17,0.9999999870894608,32,64,X_2
21,pv_17,1.000000000594644,32,64,X_2
22,pv_17,0.9999999890163975,32,64,X_2
23,pv_17,1.00000002084071,32,64,X_2
24,pv_17,1.000000011287016,32,64,X_2
25,pv_17,1.0000000129308184,32,64,X_2
26,pv_17,1.0000000072489126,32,64,X_2
27,pv_17,0.999999945411076,32,64,X_2
28,pv_17,1.0000000114507255,32,64,X_2
29,pv_17,0.9999999800040149,32,64,X_2
0,pv_18,0.9999999732365304,32,64,X_2
1,pv_18,1.000000012090009,32,64,X_2
2,pv_18,0.999999992928447,32,64,X_2
3,pv_18,0.9999999932163012,32,64,X_2
4,pv_18,0.9999999723417421,32,64,X_2
5,pv_18,0.9999999535565671,32,64,X_2
6,pv_18,0.9999999510387887,32,64,X_2
7,pv_18,0.9999999991674949,32,64,X_2
8,pv_18,1.0000000474241608,32,64,X_2
9,pv_18,1.000000006024908,32,64,X_2
10,pv_18,0.9999999845501264,32,64,X_2
11,pv_18,0.9999999469562046,32,64,X_2
12,pv_18,1.000000029917973,32,64,X_2
13,pv_18,0.9999999969462511,32,64,X_2
14,pv_18,0.9999999643311269,32,64,X_2
15,pv_18,0.9999999802890013,32,64,X_2
16,pv_18,0.9999999863095951,32,64,X_2
17,pv_18,0.9999999529302196,32,64,X_2
18,pv_18,0.9999999818014771,32,64,X_2
19,pv_18,0.9999999578041712,32,64,X_2
20,pv_18,1.0000000016827222,32,64,X_2
21,pv_18,1.0000000297893819,32,64,X_2
22,pv_18,1.0000000381198282,32,64,X_2
23,pv_18,0.9999999714652589,32,64,X_2
24,pv_18,0.999999988713292,32,64,X_2
25,pv_18,1.0000000386790036,32,64,X_2
26,pv_18,0.9999999658285715,32,64,X_2
27,pv_18,1.0000000086113725,32,64,X_2
28,pv_18,1.0000000057640612,32,64,X_2
29,pv_18,0.9999999851622027,32,64,X_2
0,pv_19,0.9999999986895122,32,64,X_2
1,pv_19,1.0000000033685819,32,64,X_2
2,pv_19,0.9999999984070103,32,64,X_2
3,pv_19,0.9999999991387575,32,64,X_2
4,pv_19,0.999999995224831,32,64,X_2
5,pv_19,1.0000000139315812,32,64,X_2
6,pv_19,0.9999999806779017,32,64,X_2
7,pv_19,0.9999999928786557,32,64,X_2
8,pv_19,0.9999999989648781,32,64,X_2
9,pv_19,1.0000000030236285,32,64,X_2
10,pv_19,0.9999999523518224,32,64,X_2
11,pv_19,1.000000007867979,32,64,X_2
12,pv_19,0.9999999604790143,32,64,X_2
13,pv_19,0.9999999775463554,32,64,X_2
14,pv_19,1.0000000077378048,32,64,X_2
15,pv_19,0.9999999961962495,32,64,X_2
16,pv_19,0.9999999883729742,32,64,X_2
17,pv_19,1.0000000546823586,32,64,X_2
18,pv_19,1.0000000300223228,32,64,X_2
19,pv_19,1.0000000053819231,32,64,X_2
20,pv_19,1.000000033576111,32,64,X_2
