fold,direction,feature_set,comparison,model_type,model_label,random_repeat,background_n,metric,value,lower_better
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,5,1000,Centroid distance,5.717932224273682,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,5,1000,Centroid distance,1.1347694396972656,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,5,1000,Centroid distance,2.417884349822998,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,6,1000,Centroid distance,2.8748154640197754,TRUE
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,6,1000,Centroid distance,5.4275078773498535,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,6,1000,Centroid distance,1.1845959424972534,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,6,1000,Centroid distance,2.651186943054199,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,7,1000,Centroid distance,3.0232441425323486,TRUE
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,7,1000,Centroid distance,5.638397693634033,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,7,1000,Centroid distance,1.107645869255066,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,7,1000,Centroid distance,2.2330520153045654,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,8,1000,Centroid distance,2.711262464523315,TRUE
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,8,1000,Centroid distance,5.38484001159668,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,8,1000,Centroid distance,1.0394147634506226,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,8,1000,Centroid distance,2.3908920288085937,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,9,1000,Centroid distance,2.934408664703369,TRUE
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,9,1000,Centroid distance,5.506198883056641,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,9,1000,Centroid distance,1.1269973516464231,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,9,1000,Centroid distance,2.4921741485595703,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,0,1000,Centroid distance,2.652604818344116,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,0,1000,Centroid distance,5.966968536376953,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,0,1000,Centroid distance,0.9652683138847352,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,0,1000,Centroid distance,2.887481212615967,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,2.612574577331543,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,6.489113807678223,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,1.163237690925598,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,3.4645180702209473,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,2.529625654220581,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,6.2489495277404785,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,1.046536922454834,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,3.1517317295074463,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,3,1000,Centroid distance,2.6515512466430664,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,3,1000,Centroid distance,6.484377384185791,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,3,1000,Centroid distance,0.9754403829574584,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,3,1000,Centroid distance,2.9849894046783447,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,4,1000,Centroid distance,2.3853871822357178,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,4,1000,Centroid distance,6.09018087387085,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,4,1000,Centroid distance,1.1195623874664309,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,4,1000,Centroid distance,3.319645404815674,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,5,1000,Centroid distance,2.628819465637207,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,5,1000,Centroid distance,6.08279275894165,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,5,1000,Centroid distance,1.2086803913116455,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,5,1000,Centroid distance,3.3946268558502197,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,6,1000,Centroid distance,2.663156747817993,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,6,1000,Centroid distance,6.369259357452393,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,6,1000,Centroid distance,1.0741465091705322,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,6,1000,Centroid distance,3.203530788421631,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,7,1000,Centroid distance,2.5737485885620117,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,7,1000,Centroid distance,6.542474269866943,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,7,1000,Centroid distance,1.0435385704040527,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,7,1000,Centroid distance,2.8708815574645996,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,8,1000,Centroid distance,2.459226369857788,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,8,1000,Centroid distance,6.441242218017578,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,8,1000,Centroid distance,0.9736226797103882,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,8,1000,Centroid distance,3.0592663288116455,TRUE
3,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,9,1000,Centroid distance,2.6030423641204834,TRUE
3,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,9,1000,Centroid distance,6.284042835235596,TRUE
3,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,9,1000,Centroid distance,1.0313009023666382,TRUE
3,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,9,1000,Centroid distance,2.818654775619507,TRUE
4,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,0,1000,Centroid distance,4.119378566741943,TRUE
4,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,0,1000,Centroid distance,8.820433616638184,TRUE
4,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,0,1000,Centroid distance,1.1152178049087524,TRUE
4,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,0,1000,Centroid distance,2.777174711227417,TRUE
4,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,4.468465328216553,TRUE
4,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,9.19131851196289,TRUE
4,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,1.0310969352722168,TRUE
4,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,2.443281412124634,TRUE
4,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,4.357698917388916,TRUE
4,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,9.101579666137695,TRUE
4,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,0.9088549017906188,TRUE
4,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,2.4569857120513916,TRUE
4,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,3,1000,Centroid distance,4.4957499504089355,TRUE
4,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,3,1000,Centroid distance,9.083688735961914,TRUE
4,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,3,1000,Centroid distance,0.9749636054039,TRUE
4,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,3,1000,Centroid distance,2.414508104324341,TRUE
4,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,4,1000,Centroid distance,4.499126434326172,TRUE
4,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,4,1000,Centroid distance,9.048994064331056,TRUE
4,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,4,1000,Centroid distance,1.0007643699645996,TRUE
4,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,4,1000,Centroid distance,2.4333837032318115,TRUE
4,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,5,1000,Centroid distance,4.5112457275390625,TRUE
4,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,5,1000,Centroid distance,9.314786911010742,TRUE
4,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,5,1000,Centroid distance,1.0570176839828491,TRUE
4,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,5,1000,Centroid distance,2.732045888900757,TRUE
4,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,6,1000,Centroid distance,3.944517374038696,TRUE
4,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,6,1000,Centroid distance,8.607370376586914,TRUE
4,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,6,1000,Centroid distance,0.979411005973816,TRUE
4,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,6,1000,Centroid distance,2.2347521781921387,TRUE
4,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,7,1000,Centroid distance,4.273270606994629,TRUE
4,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,7,1000,Centroid distance,8.932001113891602,TRUE
4,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,7,1000,Centroid distance,1.147749900817871,TRUE
4,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,7,1000,Centroid distance,2.742121696472168,TRUE
4,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,8,1000,Centroid distance,4.624072551727295,TRUE
4,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,8,1000,Centroid distance,9.306028366088867,TRUE
4,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,8,1000,Centroid distance,0.9740810990333556,TRUE
4,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,8,1000,Centroid distance,2.5345258712768555,TRUE
