fold,direction,tissue,feature_set,model_type,comparison,n_source,n_target,n_features,mmd,random_repeat,source_file,model_label
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06641387939453125,9,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116318106651306,9,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5872753858566284,0,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5932566523551941,0,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.587276041507721,1,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5932592153549194,1,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5872754454612732,2,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5932533144950867,2,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5872747302055359,3,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5932601690292358,3,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5872719883918762,4,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5932596921920776,4,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5872759222984314,5,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.593258798122406,5,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5872794985771179,6,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.593260645866394,6,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5872744917869568,7,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5932582020759583,7,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5872783660888672,8,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5932568311691284,8,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5872735977172852,9,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5932567715644836,9,liver_expression_mmd_fold0.csv,Permuted both
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16759538650512695,0,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623053312301636,0,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19940251111984253,0,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.562626838684082,0,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16900581121444702,1,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623075366020203,1,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.2013296484947205,1,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626425743103027,1,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16605377197265625,2,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623083710670471,2,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.1976153254508972,2,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626444816589355,2,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1647244095802307,3,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.562305748462677,3,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19613903760910031,3,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626299977302551,3,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16382205486297607,4,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623070001602173,4,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19504314661026,4,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626277923583984,4,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1641727089881897,5,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623053908348083,5,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.1953531503677368,5,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626275539398193,5,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1649308800697327,6,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.562305748462677,6,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19626212120056152,6,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626294612884521,6,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16502642631530762,7,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623053312301636,7,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.1962590217590332,7,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626301765441895,7,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16697514057159424,8,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623055100440979,8,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19906556606292725,8,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626250505447388,8,liver_expression_mmd_fold1.csv,FlowTransOP
1,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16632109880447388,9,liver_expression_mmd_fold1.csv,Real target liver
1,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623071789741516,9,liver_expression_mmd_fold1.csv,FlowTransOP
