fold,direction,feature_set,model_type,model_label,value,lower_better
8,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.20904946327209473,TRUE
8,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.20904946327209473,TRUE
8,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.6289196610450745,TRUE
8,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.7655730843544006,TRUE
8,Human to mouse,All target genes,permuted_both,Permuted both,1.4044594764709473,TRUE
8,Human to mouse,Orthologues,permuted_both,Permuted both,1.3965191841125488,TRUE
8,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.298439621925354,TRUE
8,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.31458020210266113,TRUE
8,Mouse to human,All target genes,permuted_both,Permuted both,1.256872296333313,TRUE
8,Mouse to human,Orthologues,permuted_both,Permuted both,1.2338906526565552,TRUE
9,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.2097780704498291,TRUE
9,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.2097780704498291,TRUE
9,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.2097780704498291,TRUE
9,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.2097780704498291,TRUE
9,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5757094025611877,TRUE
9,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.6733525395393372,TRUE
9,Human to mouse,All target genes,permuted_both,Permuted both,1.4153237342834473,TRUE
9,Human to mouse,Orthologues,permuted_both,Permuted both,1.3982949256896973,TRUE
9,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.29295849800109863,TRUE
9,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.3169243335723877,TRUE
9,Mouse to human,All target genes,permuted_both,Permuted both,1.24717116355896,TRUE
9,Mouse to human,Orthologues,permuted_both,Permuted both,1.2277581691741943,TRUE
