fold,direction,feature_set,comparison,model_type,model_label,metric,value,lower_better
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.9468957781791688,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.852225124835968,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.8627014341744059,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.98360465939641,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.9828011171758176,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,165.53964233398438,TRUE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.9523527026176452,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.753744900226593,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.7521536809323046,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.9881788879454136,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.9873848513305188,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,491.2946166992187,TRUE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.6337482929229736,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,-0.00262518809176981,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,-0.00456923538259823,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.6080106498003006,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.6072520992577076,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,377.3118286132813,TRUE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.7040975093841553,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,-0.0025854124687612,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,-0.00774039376629988,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.7119643276870251,FALSE
1,Human to mouse,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.7069908903896809,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,104.15939331054687,TRUE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.987146258354187,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.9664130806922911,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.9628518865940044,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.9784621102571488,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.977401681548357,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,84.56070709228516,TRUE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.9893292784690856,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.9385581612586976,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.936810869793578,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.9857750389456748,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.9851889040529728,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,547.06390380859375,TRUE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.6331122517585754,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,0.00244504865258932,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,0.00202169377559264,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.594759410327673,FALSE
1,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.5938138167619705,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,385.0861206054687,TRUE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.7167134881019592,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,-0.00421088514849543,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,-0.00247262067330884,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.7254882879495621,FALSE
1,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.7225509068369865,FALSE
2,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid distance,129.29278564453125,TRUE
2,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid cosine,0.9721381664276124,FALSE
2,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Pearson,0.8550411462783813,FALSE
2,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Spearman,0.8505204582745712,FALSE
