,itearation,variable,value,sample_size
171,21,x_6,1.0000000184816917,64
172,22,x_6,0.9999999872373885,64
173,23,x_6,1.0000000296971419,64
174,24,x_6,0.9999946477424387,64
175,25,x_6,0.9999999692972723,64
176,26,x_6,0.9999804456054863,64
177,27,x_6,1.0000000034491894,64
178,28,x_6,1.0000000250999113,64
179,29,x_6,0.9999997536498683,64
180,0,x_7,0.999999994100687,64
181,1,x_7,0.9999999675741861,64
182,2,x_7,1.0000000139735672,64
183,3,x_7,0.9999977109530324,64
184,4,x_7,0.9999958969146527,64
185,5,x_7,1.0000000076784037,64
186,6,x_7,1.0000000191063498,64
187,7,x_7,0.9999965806256478,64
188,8,x_7,0.9999966602546226,64
189,9,x_7,0.9999960981064124,64
190,10,x_7,0.9999995215862799,64
191,11,x_7,0.999998482917229,64
192,12,x_7,0.9999999753688316,64
193,13,x_7,0.9999998685071503,64
194,14,x_7,0.9999998281542425,64
195,15,x_7,0.9999999858912881,64
196,16,x_7,0.9999995872326465,64
197,17,x_7,0.9918806657373094,64
198,18,x_7,0.999999959695266,64
199,19,x_7,0.9999881148576708,64
200,20,x_7,0.9551557732161642,64
201,21,x_7,1.000000031104522,64
202,22,x_7,1.0000000173394017,64
203,23,x_7,0.9999999757969229,64
204,24,x_7,0.9967376682603872,64
205,25,x_7,0.9999999222972161,64
206,26,x_7,0.9999848892169769,64
207,27,x_7,0.9999999390672502,64
208,28,x_7,1.000000038983549,64
209,29,x_7,0.9999999715565333,64
210,0,x_8,0.9999999814098544,64
211,1,x_8,0.9999999867517303,64
212,2,x_8,0.999999994034359,64
213,3,x_8,0.9999945128583565,64
214,4,x_8,0.997943912122897,64
215,5,x_8,1.0000000079889622,64
216,6,x_8,1.0000000031075764,64
217,7,x_8,0.9999841746382961,64
218,8,x_8,0.9965807511273419,64
219,9,x_8,0.9999929045833228,64
220,10,x_8,0.9999997393418825,64
221,11,x_8,0.9998172903965638,64
222,12,x_8,0.9999999944979024,64
223,13,x_8,1.0000000336248873,64
224,14,x_8,0.9999999597797766,64
225,15,x_8,0.9999999871735749,64
226,16,x_8,0.9999977824412642,64
227,17,x_8,0.998088617461086,64
228,18,x_8,0.9999997277137245,64
229,19,x_8,0.9999990491618633,64
230,20,x_8,0.9581898516814636,64
231,21,x_8,1.0000000206795674,64
232,22,x_8,1.0000000079509044,64
233,23,x_8,1.0000000131951046,64
234,24,x_8,0.9873484441678522,64
235,25,x_8,0.9999996606974086,64
236,26,x_8,0.9999902786575393,64
237,27,x_8,0.9999999469643197,64
238,28,x_8,0.9999999706977007,64
239,29,x_8,0.9999997239569527,64
240,0,x_9,1.00000000197183,64
241,1,x_9,0.9999999920237924,64
242,2,x_9,1.0000000160558102,64
243,3,x_9,0.9999970914319176,64
244,4,x_9,0.9999668545074646,64
245,5,x_9,1.000000015591585,64
246,6,x_9,0.9999999691811012,64
247,7,x_9,0.9991573715867725,64
248,8,x_9,0.9974041771716998,64
249,9,x_9,0.999996213872589,64
250,10,x_9,0.9999993951050982,64
251,11,x_9,0.9979807177812298,64
252,12,x_9,1.0000000298085219,64
253,13,x_9,0.9999999968012449,64
254,14,x_9,0.9999998411090647,64
255,15,x_9,1.0000000135692035,64
256,16,x_9,0.9998496461491604,64
257,17,x_9,0.9999369305566265,64
258,18,x_9,0.9999999343025091,64
259,19,x_9,0.9999538308733835,64
260,20,x_9,0.9660799011828217,64
261,21,x_9,0.9999999903446894,64
262,22,x_9,1.0000000211799054,64
263,23,x_9,0.9999999974883179,64
264,24,x_9,0.9993341949074942,64
265,25,x_9,0.9999990899980967,64
266,26,x_9,0.999951421868014,64
267,27,x_9,0.9999999875652273,64
268,28,x_9,1.0000000488928125,64
269,29,x_9,0.9999941207788715,64
270,0,x_10,1.0000000305332688,64
271,1,x_10,1.0000000149303407,64
272,2,x_10,0.9999999820980426,64
273,3,x_10,0.9999990354741654,64
274,4,x_10,0.9852841799000184,64
275,5,x_10,0.9999999985335722,64
276,6,x_10,0.9999999459395941,64
277,7,x_10,0.9976314882761111,64
278,8,x_10,0.9930528729664884,64
279,9,x_10,0.9999844275268014,64
280,10,x_10,0.9999988512772234,64
281,11,x_10,0.9982231302360908,64
282,12,x_10,0.999999964634572,64
283,13,x_10,0.9999999692747783,64
284,14,x_10,0.9999991963306487,64
285,15,x_10,1.000000021536504,64
286,16,x_10,0.9998265572162447,64
287,17,x_10,0.9983363078869327,64
288,18,x_10,0.99999986424742,64
289,19,x_10,0.9999520715836764,64
290,20,x_10,0.9618033709760554,64
291,21,x_10,1.0000000017680724,64
292,22,x_10,0.9999999464143693,64
293,23,x_10,0.9999999765549106,64
294,24,x_10,0.9986226685252891,64
295,25,x_10,0.9999993819443,64
296,26,x_10,0.9995301606868732,64
297,27,x_10,0.999999974115587,64
298,28,x_10,0.9999999828589621,64
299,29,x_10,0.9999966218210921,64
