,itearation,variable,value
38,3,x_8,0.9999999585756941
39,4,x_8,1.0000000002982359
40,0,x_9,0.9999999987072457
41,1,x_9,0.997926631748477
42,2,x_9,0.9999999726813998
43,3,x_9,0.9976098986290488
44,4,x_9,0.9999999953126145
45,0,x_10,1.0000000133366913
46,1,x_10,0.9999999921489621
47,2,x_10,0.99999997960654
48,3,x_10,1.0000000110724698
49,4,x_10,0.9999999869282413
50,0,x_11,0.9999999644978592
51,1,x_11,0.9999999656253437
52,2,x_11,0.999999949455665
53,3,x_11,0.9999998584655598
54,4,x_11,0.9999999782441114
55,0,x_12,0.9999999629024848
56,1,x_12,0.9999999933343078
57,2,x_12,0.9999998975446324
58,3,x_12,0.999999895961451
59,4,x_12,1.0000000142562444
60,0,x_13,0.999999967012447
61,1,x_13,0.9999999612357091
62,2,x_13,0.9999999983958346
63,3,x_13,0.9999999891939503
64,4,x_13,0.9999999714508027
65,0,x_14,0.9999999817010461
66,1,x_14,0.9999999796742182
67,2,x_14,0.9999999463764603
68,3,x_14,1.0000000342843163
69,4,x_14,0.9999999996405399
70,0,x_15,1.0000000053999583
71,1,x_15,0.999999961588973
72,2,x_15,0.9999999649195284
73,3,x_15,1.0000000120690806
74,4,x_15,1.0000000207483462
75,0,x_16,0.9999999719690872
76,1,x_16,0.9999999631397746
77,2,x_16,0.9999999887336289
78,3,x_16,0.9999999689498836
79,4,x_16,1.000000005171889
80,0,x_17,1.0000000169472727
81,1,x_17,0.9999998083177856
82,2,x_17,0.9999999806864508
83,3,x_17,1.000000018298152
84,4,x_17,0.9999999989535836
85,0,x_18,0.9999999949751586
86,1,x_18,0.9999997707522658
87,2,x_18,0.9999999975232582
88,3,x_18,0.9999999452814204
89,4,x_18,0.9999999315213948
90,0,x_19,0.9999999735330004
91,1,x_19,0.999999990547941
92,2,x_19,1.0000000084224934
93,3,x_19,1.0000000039676809
94,4,x_19,0.999999994185706
95,0,x_20,0.9999999622926149
96,1,x_20,1.000000000938745
97,2,x_20,0.999999971041633
98,3,x_20,0.9999999586788508
99,4,x_20,0.999999993508268
100,0,x_21,0.9999999615985475
101,1,x_21,1.0000000109844338
102,2,x_21,1.0000000212402758
103,3,x_21,0.9999999835504108
104,4,x_21,0.9999999829625986
105,0,x_22,0.9979976941231865
106,1,x_22,1.0000000492142034
107,2,x_22,1.0000000275576104
108,3,x_22,0.9984279980450674
109,4,x_22,1.0000000099549378
110,0,x_23,0.9999999879342499
111,1,x_23,0.9999999904879849
112,2,x_23,0.9999999938399738
113,3,x_23,0.9999999940218196
114,4,x_23,1.0000000222908114
115,0,x_24,1.0000000037165364
116,1,x_24,0.9999999597273186
117,2,x_24,0.9999999593055887
118,3,x_24,0.9999999100762
119,4,x_24,0.9999999966501918
120,0,x_25,0.9999999854292734
121,1,x_25,0.999999989614339
122,2,x_25,0.9999999961753773
123,3,x_25,0.9999999637423455
124,4,x_25,1.0000000132612439
125,0,x_26,0.9999999980749262
126,1,x_26,0.9999999897497062
127,2,x_26,0.9999999805406456
128,3,x_26,1.0000000398188649
129,4,x_26,0.9999999892560392
130,0,x_27,0.9999999951623549
131,1,x_27,0.9999999834946984
132,2,x_27,1.0000000196823136
133,3,x_27,0.9999999978077763
134,4,x_27,1.000000061395426
135,0,x_28,0.9999999685614689
136,1,x_28,0.9999999877585172
137,2,x_28,0.9999999588275229
138,3,x_28,0.9999998948029155
139,4,x_28,1.000000000851549
140,0,x_29,0.9999999736110935
141,1,x_29,0.9999999728806359
142,2,x_29,0.9999999434408208
143,3,x_29,0.9999999256046466
144,4,x_29,0.9999999900891146
145,0,x_30,0.9999999881717783
146,1,x_30,1.0000000082408855
147,2,x_30,0.9999999873135661
148,3,x_30,1.0000000033422893
149,4,x_30,0.9999999932431984
0,0,x_1,1.0000000201015156
1,1,x_1,1.0000000067182764
2,2,x_1,0.9999999986648054
3,3,x_1,0.9999999920127158
4,4,x_1,0.999999996992277
5,0,x_2,0.9999999959066024
6,1,x_2,0.9999999782656012
7,2,x_2,0.9999999697600584
8,3,x_2,1.0000000234446318
9,4,x_2,1.0000000254121917
10,0,x_3,1.000000008039299
11,1,x_3,1.0000000209957123
12,2,x_3,1.0000000408095209
13,3,x_3,1.0000000304626173
14,4,x_3,0.9999999815870224
15,0,x_4,0.9999999887947489
16,1,x_4,1.0000000344156337
17,2,x_4,1.0000000005493705
18,3,x_4,0.9999999782464909
19,4,x_4,0.999999989202353
20,0,x_5,0.9999999832028172
21,1,x_5,0.9999999540114836
22,2,x_5,0.999999965542303
23,3,x_5,1.0000000355906853
24,4,x_5,0.9999999598562582
25,0,x_6,1.0000000094799046
26,1,x_6,0.9999999735209123
27,2,x_6,0.9999999590264659
28,3,x_6,1.000000000328066
29,4,x_6,1.0000000177703658
30,0,x_7,1.0000000475712034
31,1,x_7,0.9999999907953546
32,2,x_7,0.9999999802864001
33,3,x_7,0.9999999983560961
34,4,x_7,0.9999999891440968
35,0,x_8,0.9999999942253233
36,1,x_8,0.9999999816398275
37,2,x_8,0.9999999799994304
38,3,x_8,1.0000000054819433
39,4,x_8,0.9999999641627171
40,0,x_9,0.999999982059182
41,1,x_9,0.9999999836846616
42,2,x_9,0.9980131616517962
43,3,x_9,1.000000010023149
44,4,x_9,0.9999999563885993
45,0,x_10,1.0000000215162932
46,1,x_10,0.9999999589761496
47,2,x_10,1.0000000520225583
48,3,x_10,0.9999999888686854
49,4,x_10,0.9999999940282949
50,0,x_11,1.0000000254030523
51,1,x_11,1.000000013598278
52,2,x_11,1.0000000028043712
53,3,x_11,0.9999999900386609
54,4,x_11,0.9999999823972148
55,0,x_12,0.9999999825306841
56,1,x_12,0.9999999840469711
57,2,x_12,0.9999999946435435
58,3,x_12,0.9999999822891914
59,4,x_12,1.0000000099782165
60,0,x_13,0.9999999939376424
61,1,x_13,1.0000000120737524
62,2,x_13,0.9999999766264198
63,3,x_13,0.999999980455814
64,4,x_13,0.9999999511668922
65,0,x_14,0.9999999961421991
66,1,x_14,0.9999999871738194
67,2,x_14,0.9999999690381149
68,3,x_14,0.9999999880432782
69,4,x_14,0.9999999625394749
70,0,x_15,0.9999999569414397
71,1,x_15,0.9999999318232012
72,2,x_15,0.9999999998775866
73,3,x_15,1.0000000330250467
74,4,x_15,0.9999999891111849
75,0,x_16,0.9999999912798757
76,1,x_16,0.9999999988079576
77,2,x_16,0.999999986731799
